Прибор: ;РОСА К-2 (01); ; Интервал: ;2019-03-11 00:00:00; / ;2019-03-25 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_temp;color_red;color_green;color_clear;color_blue;TCS34725_red;TCS34725_lux;TCS34725_green;TCS34725_colorTemp;TCS34725_clear;TCS34725_blue;RTC_time;RTC_date;DS18B20_temp;BMP280_temp;BMP280_pressure;BME280_temp;BME280_pressure;BME280_humidity;BH1750_lux;BH1750_blinkmin;BH1750_blinkmax;BH1750_blink;AM2321_temp;AM2321_humidity;
2019-03-11 19:37:41;24.63;731.29;24.21;none;17600;none;none;5499;858;645;1071;633;;;;;;;;;;;;;;;;;;;;;
2019-03-11 19:42:27;24.77;731.29;23.97;none;17604;none;none;5045;761;554;957;541;;;;;;;;;;;;;;;;;;;;;
2019-03-11 19:47:30;24.88;731.33;24.08;none;17605;none;none;5300;632;464;774;457;;;;;;;;;;;;;;;;;;;;;
2019-03-11 19:52:13;24.95;731.34;23.86;none;17605;none;none;5094;866;635;1096;619;;;;;;;;;;;;;;;;;;;;;
2019-03-11 20:00:44;24.95;731.34;23.7;none;17599;none;none;5121;842;618;1061;603;3;1;2;2184;5;1;20:00:32;2019-03-11;2.87;5.1;732.6;4.05;731.6;74.64;0.68;0;0;0;3.9;68.4;
2019-03-11 20:05:46;24.77;731.37;23.36;none;17600;none;none;8890;1;1;3;1;;;;;;;;;;;;;;;;;;;;;
2019-03-11 20:57:07;24.13;731.68;24.53;23.75;17567;46;6;5688;782;594;963;585;;;;;;;;;;;;;;;;;;;;;
2019-03-11 21:01:59;24.34;731.71;24.18;23.94;17582;43;6;5683;751;569;924;561;;;;;;;;;;;;;;;;;;;;;
2019-03-11 21:31:45;24.37;731.8;24.1;24.63;17574;30;13;5637;798;605;987;595;;;;;;;;;;;;;;;;;;;;;
2019-03-11 21:32:59;24.5;731.83;24.07;24.81;17586;30;0;5654;749;568;921;559;3;1;2;2184;5;1;21:32:32;2019-03-11;2.44;4.82;733.19;3.75;732.18;74.25;0.68;0;0;0;3.6;67.8;
2019-03-11 21:34:10;24.54;731.81;24.03;24.75;17588;46;6;5654;809;614;996;604;3;1;2;2184;5;1;21:34:32;2019-03-11;2.75;4.94;733.21;4.02;732.2;73.37;0.79;0;0;0;3.6;67.7;
2019-03-11 21:52:29;24.58;732.02;24.28;25;17578;33;0;5607;766;580;949;570;;;;;;;;;;;;;;;;;;;;;
2019-03-11 22:05:03;24.69;732.19;23.57;24.75;17592;46;6;5658;825;626;1019;616;;;;;;;;;;;;;;;;;;;;;
2019-03-12 19:43:17;24.2;739.14;24.39;23.12;17578;36;16;5637;579;433;696;429;;;;;;;;;;;;;;;;;;;;;
2019-03-12 19:45:06;24.3;739.15;23.72;23.12;17587;43;6;5682;800;607;985;598;5;0;2;3224;8;2;19:44:32;2019-03-12;-0.44;1.91;740.45;0.5;739.52;73.12;1.02;0;0;0;0.9;60.7;
2019-03-12 19:48:03;24.43;739.13;23.65;23.06;17580;40;9;5644;643;484;785;478;5;1;3;2037;8;2;19:48:32;2019-03-12;-0.5;2;740.52;0.75;739.53;71.81;1.02;0;0;0;0.8;60.6;
2019-03-12 20:48:31;23.98;739.53;23.95;22.81;17574;44.94;9;5679;788;598;967;589;;;;;;;;;;;;;;;;;;;;;
2019-03-12 20:49:47;24.03;739.54;23.92;23;17585;46.41;3;5677;818;620;1006;611;4;0;2;1635;8;2;20:49:32;2019-03-12;-0.75;1.81;740.9;0.49;739.95;71.24;1.02;0;0;0;0.6;60.6;
2019-03-12 20:51:43;24.12;739.54;23.79;22.94;17589;41.54;5;5608;803;609;989;598;4;0;2;1635;7;2;20:51:32;2019-03-12;-0.69;1.8;740.88;0.59;739.97;70.81;1.02;0;0;0;0.7;60.5;
